label,id,date,stuff,name,text
"4","2062176527","Sat Jun 06 22:31:34 PDT 2009","NO_QUERY","giovannitop","Photovia whereisfred)    I love this bottle  http://tumblr.com/xwa1z0t2g"
"0","2237471891","Fri Jun 19 05:51:28 PDT 2009","NO_QUERY","meganjane11","@derbyq HEY. I am SO sad I missed you this week. I don't suppose you are coming back up here before you fly out?  "
"4","1966521210","Fri May 29 17:55:14 PDT 2009","NO_QUERY","itscameronwood","I have OFFICIALLY arrived at my destination: The Lake! Yay "
"4","2001288026","Tue Jun 02 00:24:14 PDT 2009","NO_QUERY","grantalannn","Breaking Dawn "
"4","1983986664","Sun May 31 14:13:10 PDT 2009","NO_QUERY","babylaugh","ABC Family: Daddy Kittson Hi eveyone  http://bit.ly/35MWd"
"4","1992292235","Mon Jun 01 08:30:57 PDT 2009","NO_QUERY","chatterboxcgc","@BabyMakinMachin That's okay! Congratulations!! I know you tried "
"0","2253295683","Sat Jun 20 07:55:48 PDT 2009","NO_QUERY","kirstenbrayn","I slept so so good in my own bed! Mom's late. I have no hair dryer. wasting time. what shoes should I wear? I don't have my perfume "
"0","2191234144","Tue Jun 16 04:49:57 PDT 2009","NO_QUERY","MommaRach03","Waking up with my love!! Sick baby today  Poor Ava!!"
"4","2069772159","Sun Jun 07 16:29:58 PDT 2009","NO_QUERY","CrystalHarris","He learned how to swim today  http://yfrog.com/188rtj"
"0","2181529485","Mon Jun 15 11:57:10 PDT 2009","NO_QUERY","lando_blaine","damn a boring day i feel sick and to top it off i got bad news "
"4","1962647621","Fri May 29 11:23:21 PDT 2009","NO_QUERY","ericamay","finishing up a busy week with a busy weekend... "
"0","2198649403","Tue Jun 16 16:22:26 PDT 2009","NO_QUERY","Pmelks","@jmelks I miss you  I need you "
"0","2202875105","Tue Jun 16 22:34:51 PDT 2009","NO_QUERY","Bingerz13","@gabeevictoriaxo awh  ILY! &lt;333"
"4","2175713076","Mon Jun 15 01:46:40 PDT 2009","NO_QUERY","pradeepkrsharma","@raduboncea nice story  and I forward it to @kinshuksunil, @yadurajiv "
"4","2053074222","Sat Jun 06 03:10:08 PDT 2009","NO_QUERY","hoppimike","@ParadisBlanc Aww im ok   why do you feel weird? ._."
"0","2001561903","Tue Jun 02 01:17:48 PDT 2009","NO_QUERY","flavorschannel","i can't stop thinking why no one is replying . we're forgotten . no one cares .  poor us . --cookies ♥"
"4","1988927226","Sun May 31 23:47:42 PDT 2009","NO_QUERY","AuntBee","@towl But should be studying or in bed . . . "
"0","1985566023","Sun May 31 17:21:00 PDT 2009","NO_QUERY","bloodlive","We won, 1-0...tough game it was though. Now I have to deal with the sweet aftermath pain "
"0","2063582337","Sun Jun 07 03:14:54 PDT 2009","NO_QUERY","ZenaWest","I'm such a child. Threw a massive hissy-fit that I was outbid for my micro-kiln. I'd gotten my hopes up about getting it, had made plans "
"0","2053888683","Sat Jun 06 06:00:04 PDT 2009","NO_QUERY","smandersx","Yay closing Friday nights, opening/double on Saturday. "
"4","2052395397","Sat Jun 06 00:35:13 PDT 2009","NO_QUERY","Sirvinya","Another 2 hour blogtv last night! Thanks to everyone who turned up "
"4","1834182192","Mon May 18 01:56:51 PDT 2009","NO_QUERY","Tformer90","w00t! Seems like I got the last Scud in stock! Lucky me "
"0","2069202552","Sun Jun 07 15:26:57 PDT 2009","NO_QUERY","ebowuk","@fredharrison perhaps that newscaster error with North Yorkshire and testing nukes wasn't so far away after all "
"0","2233414406","Thu Jun 18 21:19:12 PDT 2009","NO_QUERY","silvarafire","@mmm1419  didn't make it to the concert?  tried to get into pinch but apparently missed free cover by 1/2 hour    u should come next thurs"
"0","1550849642","Sat Apr 18 07:26:30 PDT 2009","NO_QUERY","TwiSapphire","I'm feeling sorry for myself because I'm kind of sick which means I can't go to a sleepover with my BFF. "
"4","1835577194","Mon May 18 06:18:12 PDT 2009","NO_QUERY","nappypoet","@GeeEasy go girl! exercising is the key to a faster metabolism! keep it up "
"0","1971111852","Sat May 30 06:14:54 PDT 2009","NO_QUERY","tripleecho","Day 3 of this spring/summer cold.  Attempting a day of recuperation. Saturday morning Cartoons."
"0","1975457977","Sat May 30 15:11:55 PDT 2009","NO_QUERY","scc1fan","@MaryBethChapman Awww...poor puppy...bet his stomach hurts!  ...*giggles*"
"4","2068670103","Sun Jun 07 14:29:21 PDT 2009","NO_QUERY","blanchem","already tried to reprogram it but was unsuccesful.  will try again later.  god forbid we have to reach over to turn it off and on! "
"4","1835593041","Mon May 18 06:20:18 PDT 2009","NO_QUERY","leighmichele","TR @amandak2906 Just say what you're doing or what you think. It's a fun way to interact  "
"4","2051031503","Fri Jun 05 19:44:14 PDT 2009","NO_QUERY","PITCHERPARK","Congrats to @jason_pollock #followfriday love #tyc for his movie!   #film premiere @LAFILMFEST! http://cli.gs/MQQ4a   CANT WAIT! "
"4","2063471058","Sun Jun 07 02:47:32 PDT 2009","NO_QUERY","peterfawcett","@riineystackedx i know u didnt "
"0","2175068492","Mon Jun 15 00:00:31 PDT 2009","NO_QUERY","Solarica96","@Sabri32 ewww that is way to early but i have to work out at 6 in the morn for like 3 freakn hours ugh!! i shld sleep but i wont lol ! "
"0","2197186119","Tue Jun 16 13:27:20 PDT 2009","NO_QUERY","PrettyRicci","home from the dentist....bout 2 take a nap...and wait for this numbing to go away "
"0","1881961276","Fri May 22 05:56:52 PDT 2009","NO_QUERY","martynhett","does NOT want to work tonight  or tomorrow  or the day after that for that matter..."
"0","1791917836","Wed May 13 21:31:36 PDT 2009","NO_QUERY","JohnaManibusan","Uggghh I'm missing hella shit this weekend! Foating down the river!  Girls Gone wild is here! pwahahhaha"
"0","1833616769","Sun May 17 23:52:26 PDT 2009","NO_QUERY","ifenn","@dszuc @martinpolley The increased popularity of the mac does mean that the risk of viruses/spyware has increased... "
"0","1836305791","Mon May 18 07:45:37 PDT 2009","NO_QUERY","cameron_crazy","@PaperCakes i think my store is prepping to get some new stuff in. their shelves were pretty empty. i miss my michaels!!! it got closed. "
"4","1559938800","Sun Apr 19 12:26:04 PDT 2009","NO_QUERY","Molecat84","@Danacea everything ok with your mum now? "
"4","1759691652","Sun May 10 19:46:27 PDT 2009","NO_QUERY","MaryBethune","Ladies and Gentlemen @sweet_charlotte and I have arrived   ? http://blip.fm/~60p98"
"0","2189678356","Tue Jun 16 00:37:28 PDT 2009","NO_QUERY","ChichiTjandra","I want ice cream "
"0","2180789718","Mon Jun 15 10:56:54 PDT 2009","NO_QUERY","Songbirdgirl222","Watching my nephew for the last time before heading back to NYC! I'm sad "
"4","1557880711","Sun Apr 19 06:24:44 PDT 2009","NO_QUERY","macmuso","@spanglegluppet the lantern, and the two wood ones. these are great photos!!  and I love the name - very happy "
"0","1972344890","Sat May 30 09:03:01 PDT 2009","NO_QUERY","francjf","Oh.  Never mind.   Thanks for another excellent season, Everton."
"4","2070389198","Sun Jun 07 17:36:29 PDT 2009","NO_QUERY","Jono94","I think watching a brutal movie on Showcase could become a nice Sunday tradition.  haha."
"4","1977985873","Sat May 30 22:09:43 PDT 2009","NO_QUERY","paigebradford"," Yay! It works goodnight long day tom. With sam!"
"0","2059932294","Sat Jun 06 17:55:44 PDT 2009","NO_QUERY","bmw","All these bike rides my friends are taking now that weather's nice is really dampening my social calendar.    #fb"
"4","1686235106","Sun May 03 04:28:19 PDT 2009","NO_QUERY","herbt","@derb up to 320 faders, all have 12 layers. 96kHz and swappable I/O. That's insane "
"4","1957161392","Thu May 28 23:41:26 PDT 2009","NO_QUERY","G121207"," baby you like my favorite dessert I just can not get enough of you love you I'm yours 4Eva"
"4","1994997429","Mon Jun 01 12:47:18 PDT 2009","NO_QUERY","koshzor","OMGOMG Chainsaw in L4D2! Welcome back to Doom  http://bit.ly/crdnm"
"4","1992976103","Mon Jun 01 09:37:46 PDT 2009","NO_QUERY","msfraust","Central Square farmers market reopens today! Hooray! thanks @deliciousdish for reminding me  @)2139now"
"4","1976620913","Sat May 30 18:36:11 PDT 2009","NO_QUERY","StephCata","Hey @AndieGreylek and @Lauren_Novak i just spoke with your Dad, he is such a lovely guy...i'll most likely be seeing you all soon..ish "
"4","1975377666","Sat May 30 15:01:53 PDT 2009","NO_QUERY","angelaxjonas","@iluvwentzXstump LMFAOOOO, I ALMOST DID SAY FOOT! hahaha, im laughing at the word foot, lmao. NO BETHY, eat something. please, for pete "
"4","1956075644","Thu May 28 21:08:30 PDT 2009","NO_QUERY","Cassiedawn08","I can't wait til that cd comes out after hearing clips of the songs &amp; loving them!! Junes 16th, come faster please?    "
"0","1685837359","Sun May 03 02:20:35 PDT 2009","NO_QUERY","colingalbraith","@ElspethMurray How bad does it get? "
"0","2049128355","Fri Jun 05 16:20:37 PDT 2009","NO_QUERY","johana_fly","wishing i was with @camismiiles forever .....im soo LOW right now i need her a lot ... "
"4","2060456747","Sat Jun 06 18:56:31 PDT 2009","NO_QUERY","virt","Just for those who need the visual proof.  whats funny is we didnt even know we were playing for money 'til we won. http://sml.vg/GzU4Cw"
"4","1467917956","Mon Apr 06 22:48:22 PDT 2009","NO_QUERY","Julianna237","A fair goodnight sweet Twitters. Have pleasing dreams and a restful slumber. "
"4","2175622430","Mon Jun 15 01:30:47 PDT 2009","NO_QUERY","JMBuckett","Life is best spent in good company. Loves! the people I know. And Billy Ray Cyrus "
"0","2194868076","Tue Jun 16 10:22:04 PDT 2009","NO_QUERY","hello_emilee","I don't want it to be summer break! And i want a house in town "
"0","2072213199","Sun Jun 07 20:36:08 PDT 2009","NO_QUERY","juanamyupangco","@erincampos my work outs now are so light, yoga, pilates and...walking "
"4","2002951861","Tue Jun 02 05:33:09 PDT 2009","NO_QUERY","paulkerton","@buffyc @jasonbradbury Doesn't it look good! I can't wait to talk smack in a fighting game, or map my friends faces into games "
"0","2262302700","Sat Jun 20 22:15:11 PDT 2009","NO_QUERY","leahblonde","@ReaFaceToFace - Unfortunately not  I was babysitting my pseudo-nephew all night."
"0","1823589749","Sat May 16 22:23:22 PDT 2009","NO_QUERY","spookygirl","@sugarjones Oh noes!! DD is playing Animal Crossing  Might have to kick her off for Princess Bride..."
"0","1827634359","Sun May 17 11:07:28 PDT 2009","NO_QUERY","wendiwu18","still working on some make-up work....ugh "
"0","1985088573","Sun May 31 16:24:26 PDT 2009","NO_QUERY","lauraheartattck","@bzani i did!! two!! i tried to twitpic but it didnt work "
"4","1932788973","Tue May 26 22:13:21 PDT 2009","NO_QUERY","DJJhunboy","@davenemaia Yup! GO the Underdogs! ...Everyone has counted Howard &amp; his crew out! but they ain't goin down without a fight! Hehehe "
"4","1572936795","Mon Apr 20 23:05:24 PDT 2009","NO_QUERY","TeearnSTACK","ESHAAAYS FELLOW TWITTERLY WINKS "
"4","2054767356","Sat Jun 06 08:02:41 PDT 2009","NO_QUERY","Cook1bd","@MichelleDom im over here cracking up smh  i cant even say wat i want to say over twitter lol"
"4","1981341823","Sun May 31 08:57:09 PDT 2009","NO_QUERY","nicole_honey","Please keep voting for @chriscuzzy &amp; @TomFelton &amp; @BennyDavro for Mr Twitter Universe. Vote for them at http://bit.ly/PmvRY Thanks "
"4","1978944755","Sun May 31 01:01:41 PDT 2009","NO_QUERY","hmtangx","@valeriexixi hahaha yeah dw i just had dinner, you are the best cousin  hows shanghai? my fingers are freezing here!"
"4","1834062315","Mon May 18 01:29:08 PDT 2009","NO_QUERY","natahbee","Gnigghht  anotherrr long day ahead of me in theAM."
"4","2050079247","Fri Jun 05 18:01:44 PDT 2009","NO_QUERY","cipher_cero","@NickHernandez15 Just am. Let me be happy. "
"0","2232032993","Thu Jun 18 19:21:35 PDT 2009","NO_QUERY","saara1","lying in bed at mums house feeling so sick "
"4","1983952979","Sun May 31 14:09:17 PDT 2009","NO_QUERY","PaulineMJ","@ItsK8TBitch Mmm... Greenwich village, buckingham palace, mme tussaud... i went almost everywhere  &lt;I cant remember the names xD&gt;"
"4","1970363468","Sat May 30 03:33:40 PDT 2009","NO_QUERY","xarrrr","@PrincessCoolio have a nice party lady  enjoy the chutney haha!!"
"0","2253463558","Sat Jun 20 08:12:45 PDT 2009","NO_QUERY","williamsmith","@RedheadWriting funny. you just reminded me I need to mow today too "
"4","1827764649","Sun May 17 11:23:56 PDT 2009","NO_QUERY","lookinlikedngr","@jordanknight http://twitpic.com/5aeud - .....is offering to do a full inspection to make SURE everything is still in place!   Anways ..."
"4","2014235633","Wed Jun 03 00:52:28 PDT 2009","NO_QUERY","talkiiblog","Bing stands for But it's not Google via @mediahunter "
"0","2065527188","Sun Jun 07 08:46:43 PDT 2009","NO_QUERY","MelisaRenea","Waffle house. Sad that @heykatiexcore is sad "
"4","1833773709","Mon May 18 00:24:41 PDT 2009","NO_QUERY","gemini_bk","@mike_rhodes r u romeo from somewhere? "
"0","1676849130","Fri May 01 23:26:06 PDT 2009","NO_QUERY","justolga","what a suck... I cant even watch &quot;You Belong With Me&quot; music video because i dont have computer "
"4","2015859334","Wed Jun 03 05:40:29 PDT 2009","NO_QUERY","mollyanne1","@judexmurphy Hooray! There will always be a special place in my heart for Weapons, however, I am luuuurving Bulletproof. "
"4","2061877039","Sat Jun 06 21:49:04 PDT 2009","NO_QUERY","dbrJpp","@DontCallMeBones hmm nothing much.. I'm doing nothing at all and i should go sleep  and how about you?"
"0","1822394446","Sat May 16 19:28:42 PDT 2009","NO_QUERY","bittersweet__","Made it to Wheeler's at 9:20 to find it closed... Big sadness. "
"4","2002154642","Tue Jun 02 03:19:32 PDT 2009","NO_QUERY","webeme76","loves that it is light out at 5 am.  last bkfst before summer with science crew.  then off for more Nemo.  I'm gonna sing more today. "
"0","1685705074","Sun May 03 01:39:26 PDT 2009","NO_QUERY","PritePriteGood","@eastcoastvegas I hope you come back.  Otherwise it'll be very boring late nights   That's DooDoo"
"0","1962296067","Fri May 29 10:49:39 PDT 2009","NO_QUERY","kittykatgoddess","Going there.... "
"0","2051822710","Fri Jun 05 22:53:58 PDT 2009","NO_QUERY","donkeyrideswave","omg THESE COOKIES ARE DA BOMB! but only can get in Philippines.  i want unlimited access to infinity amount of them! greedy, heh."
"0","2000814133","Mon Jun 01 23:02:05 PDT 2009","NO_QUERY","BabyGrl4u1","@tmgj24 OMG thinking the same thing.. Have to wait till next season! "
"4","1690980718","Sun May 03 16:49:19 PDT 2009","NO_QUERY","Scath","@GabrielGadfly And a crazy coyote chasing you around. "
"4","1770977922","Mon May 11 22:48:27 PDT 2009","NO_QUERY","XKirstyxo","@devyra that's alright, i'll be eagerly anticipating your updates soon though "
"0","2013530024","Tue Jun 02 22:54:17 PDT 2009","NO_QUERY","zeet75","@TheKillersLJP Awww, that stinks.  I don't think I'll get it then, I don't want to pay $15 for two pictures. :|"
"0","2185775166","Mon Jun 15 17:53:13 PDT 2009","NO_QUERY","divinelysweet","Watching greek and I feel so bad for max. "
"0","1564725508","Mon Apr 20 04:42:01 PDT 2009","NO_QUERY","Bubblybec","really misses her man when she isnt there "
"4","1961920783","Fri May 29 10:14:46 PDT 2009","NO_QUERY","diandraawr","prom was frickity flippin' awesome! i heart my Travees "
"0","2070443141","Sun Jun 07 17:42:13 PDT 2009","NO_QUERY","TGenDS","Really annoyed with myself because I lost a pair of my mokume gane sphere/spiral earrings (think I threw them away by accident). "
"0","2181789489","Mon Jun 15 12:17:58 PDT 2009","NO_QUERY","xcrazy_girlx","revising for exams  x"
"4","1995382852","Mon Jun 01 13:24:09 PDT 2009","NO_QUERY","caniiiia","of course i'm goin for work! in my case money doesn't grow on trees! "
"4","2190975474","Tue Jun 16 04:13:08 PDT 2009","NO_QUERY","MelCrawford","possibly buying LVATT tomorow "
"4","1824862067","Sun May 17 03:16:04 PDT 2009","NO_QUERY","pumba_lt","but don't feel like biking to the embassy in Charlottenlund.. but need to fulfill my civil duty "
"0","2261876582","Sat Jun 20 21:30:00 PDT 2009","NO_QUERY","troyBORG","Got to work mornings this whole week at work   8am till 4pm mostly everyday."
"0","1990632676","Mon Jun 01 05:22:24 PDT 2009","NO_QUERY","MzsVikki","Ugh in math  &amp;-VIKKI-&amp;"
"4","1976228222","Sat May 30 16:52:04 PDT 2009","NO_QUERY","chrismgallen","any one fancy writing a guest post? more than welcome as long as it's all LEGAL content and not too offensive, just @ reply "
"0","2324997603","Thu Jun 25 04:32:12 PDT 2009","NO_QUERY","stevethack","just spent two hours with police discussing my dad's lifestyle.  ten min after getting news of my great aunt's death.  work soon. "
"0","2016878025","Wed Jun 03 07:30:22 PDT 2009","NO_QUERY","katieson","@dukefan112 i know and it sucks because I am stuck inside all day "
"0","2234508543","Thu Jun 18 23:11:19 PDT 2009","NO_QUERY","Corinne_DB","My back hurts. "
"4","1677444202","Sat May 02 02:06:25 PDT 2009","NO_QUERY","thenewpsies","@jazzt yep gemma... i thought we might try.. woke up to like 4messages from you - leaving me love to wake up to  "
"0","1880089835","Fri May 22 00:04:04 PDT 2009","NO_QUERY","Myjadedsavior","No quote from telly or movies today "
"0","2285638323","Mon Jun 22 15:23:09 PDT 2009","NO_QUERY","vivanatalia","@MoniqueCarmen you were a mini jetsetter! they don't give pins anymore. "
"4","1989728972","Mon Jun 01 02:36:02 PDT 2009","NO_QUERY","genekhor","@clicktokill Yeah, I noticed too. Nice picture "
"0","2233097952","Thu Jun 18 20:49:53 PDT 2009","NO_QUERY","NikkiCeline","@stephenhartley Oh i feel bad hun!!! we have the charger here!!! i could run!!! Never mind thats really far "
"0","2236538901","Fri Jun 19 03:57:44 PDT 2009","NO_QUERY","janeslee","@fionajc3 nah not really It just accumulates until it just has to be done "
"0","2260545740","Sat Jun 20 19:23:29 PDT 2009","NO_QUERY","zefdee","dibangunin Denise, minta ditemenin main ayunan.. Hadir satu lagi kponakan gue, Excell &amp; Salsa. Aunt's duty continue. I need more sleep "
"4","1961465885","Fri May 29 09:32:44 PDT 2009","NO_QUERY","TwiGuy87","I love the cloudy, drizzly weather we're having right now "
"0","2065973023","Sun Jun 07 09:38:52 PDT 2009","NO_QUERY","lfayeo87","@JessDover Nothing fun today... "
"4","2189629081","Tue Jun 16 00:29:59 PDT 2009","NO_QUERY","JanieByrne","@dave_turner  Yes ,but you captured it brilliantly. "
"4","1992499790","Mon Jun 01 08:51:13 PDT 2009","NO_QUERY","arielwaldman","BTW, Happy Anniversary to @CupcakeCamp! One year ago today, we held the first CupcakeCamp in San Francisco! "
"0","1470068041","Tue Apr 07 08:15:07 PDT 2009","NO_QUERY","LatoyaNT","@jodeci4eva Man its really so hard to tell at times whos real and whos not just takes the fun out of twittering sometimes....  ugh..."
"4","2052228387","Sat Jun 06 00:03:03 PDT 2009","NO_QUERY","WalkingHorse","@KarenMcLain Had to check before I shut down..they finally put the video up http://tinyurl.com/mgzxme Night! "
"0","2258754722","Sat Jun 20 16:26:39 PDT 2009","NO_QUERY","daviddavila","oh, wait, it's still loud "
"0","1684789459","Sat May 02 22:03:15 PDT 2009","NO_QUERY","CaitieSalmon","doesnt want to work till midnight tonight "
"4","2183123791","Mon Jun 15 14:04:40 PDT 2009","NO_QUERY","jennyoox3","i almost didn't survive without internet but it's back "
"4","1977004135","Sat May 30 19:50:30 PDT 2009","NO_QUERY","mariaaag","Made new friends today "
"0","1684874554","Sat May 02 22:18:56 PDT 2009","NO_QUERY","Joshyboyy","So my legs twitching......I don't think that's a good thing "
"0","1984608105","Sun May 31 15:26:39 PDT 2009","NO_QUERY","endlessmikesp","oo much candy. now everything tastes like bad "
"4","2061297369","Sat Jun 06 20:34:39 PDT 2009","NO_QUERY","simplyrecipes","@fezoca love Oxbow! There's a great little antique-y booth there, beautiful things. "
"0","1557492947","Sun Apr 19 04:26:52 PDT 2009","NO_QUERY","Fake_Shaun_R","OH NOES!!!! MY WEBSITE IS DOWN AGAIN   "
"4","2060803006","Sat Jun 06 19:36:26 PDT 2009","NO_QUERY","Sugaplumm","will be home soon.! "
"0","2262207910","Sat Jun 20 22:04:45 PDT 2009","NO_QUERY","locn","Zion and Vegas was so much awesomeness. Too bad my stupid camera crapped out at sunset "
"4","2069866740","Sun Jun 07 16:40:22 PDT 2009","NO_QUERY","Raelynnsurfer7","@OfficialSKnight OMG i was watching u on tv!!!! "
"0","1957028775","Thu May 28 23:19:12 PDT 2009","NO_QUERY","MllexCamelia","I have forgot the live with the Jonas Brothers on Facebook "
"0","2179877737","Mon Jun 15 09:42:25 PDT 2009","NO_QUERY","hannargh","totally cba with law revision  i wish the end of this week would hurry the fuck up!"
"0","2072452336","Sun Jun 07 21:03:10 PDT 2009","NO_QUERY","jwCollinBrown","really wants to buy LICD Beginnings but due to him being broke, will just have to cry about it.  "
"0","2216606845","Wed Jun 17 19:42:48 PDT 2009","NO_QUERY","kimmyhuynh","Everyone please send your positive energy and well wishes to @Drinkopotamus for his Nana. She's back in the hospital "
"4","1962376530","Fri May 29 10:57:07 PDT 2009","NO_QUERY","lynypin","getting ready to go out. Sun is shining, fish and chips outside by the sea for tea I think - I deserve it, worked hard at the gym today "
"0","1990579750","Mon Jun 01 05:14:19 PDT 2009","NO_QUERY","philipdelisle","@marketingwizdom - don't have a Mac ... "
"4","2186412363","Mon Jun 15 18:48:11 PDT 2009","NO_QUERY","tamface","Sending off yet another care package to Iraq.  Won't have to do this anymore sooooooooon!  "
"4","1973088641","Sat May 30 10:27:48 PDT 2009","NO_QUERY","rawrspiderman","Is going to have a good rest of the year. No Matter what "
"4","1993731170","Mon Jun 01 10:50:35 PDT 2009","NO_QUERY","diyagirl","My phone is too far to reach so I hope he gets this through text. @azamroselan Can I some of your Popmie? "
"4","1836397074","Mon May 18 07:55:27 PDT 2009","NO_QUERY","blue_rose","@khali_blache Hee. Awesome. "
"4","1993248121","Mon Jun 01 10:04:16 PDT 2009","NO_QUERY","ian_hocking","@clare166  I did a bit of research on this... Sit within four rows of an exit, keep your shoes on, and don't fly with cheap airlines..."
"4","1679211111","Sat May 02 08:48:28 PDT 2009","NO_QUERY","bubblygirl54","supermassive black hole--muse "
"0","2219427507","Thu Jun 18 00:30:47 PDT 2009","NO_QUERY","marapole90"," my tummy hurts."
"4","1686802507","Sun May 03 06:49:24 PDT 2009","NO_QUERY","nuttychris","@AyeUpLaura lol that us when ya soba as well haha "
"4","1995896056","Mon Jun 01 14:12:58 PDT 2009","NO_QUERY","EterKnity","@sandmarg You are so sweet !!! It's not such a bad day after all   Thanks."
"4","2184229029","Mon Jun 15 15:36:24 PDT 2009","NO_QUERY","lexleigh","@thetinyfig I'm curious what the spammer said! I went to your blog to check, but alas, it was already gone "
"0","2221873480","Thu Jun 18 06:08:27 PDT 2009","NO_QUERY","mamaofletters","@fingwindmills I feel for you. I have less than two months...I know it's gonna get worse. &amp; sorry your little one had a bad dream! "
"4","1994275221","Mon Jun 01 11:41:04 PDT 2009","NO_QUERY","n0__mYsterY","Gonna start my june grind tommorow... hope to get 30k+ hands this month ... pretty much for me "
"4","1971158416","Sat May 30 06:22:43 PDT 2009","NO_QUERY","Goldilinchen","Just watched the MotoGP qualifying...simply gripping! Great results - looking forward to the races tomorrow "
"4","1975217505","Sat May 30 14:41:39 PDT 2009","NO_QUERY","coliemarieee","&quot;In dreams and in love there are no impossibilities.&quot; --Janos Arnay thats what i say....and you ALL should believe exactly that! "
"0","2014763273","Wed Jun 03 02:36:23 PDT 2009","NO_QUERY","joedubz","@mandiiurie not so good right now, feeling depressed "
"4","1979245397","Sun May 31 02:13:36 PDT 2009","NO_QUERY","Jackomonster","yaaaaaaaaaaaaay nice weather and youuuuu "
"4","1685610216","Sun May 03 01:11:11 PDT 2009","NO_QUERY","In_Extremis","@Rammers Not being a worker any more that'll be why I was ignorant to it. "
"4","1676369583","Fri May 01 21:50:47 PDT 2009","NO_QUERY","sabrinatang","10 firsts and 2 seconds in ballroom "
"0","2251854192","Sat Jun 20 04:46:40 PDT 2009","NO_QUERY","philmarsay","Soaked to the skin! Caps off a fine ol morning really!! "
"0","2241663930","Fri Jun 19 11:13:34 PDT 2009","NO_QUERY","Surfinbabe86","MIss mah baby!! I need some lovins "
"0","2298044227","Tue Jun 23 11:11:13 PDT 2009","NO_QUERY","sugamunki","Swears to never get immobily(i like the word) fat. i'm 8 ft from the fat, stinky lady in waiting rom &amp; tummy is churning  fight the folds!"
